2.5689	1.315	1.8734
2.619	1.4716	1.9588
2.6532	1.4668	1.8933
2.6217	1.4274	1.9315
2.6395	1.4814	1.8841
2.6276	1.4587	1.9396
2.6504	1.4736	1.8708
2.6099	1.4661	1.9522
2.6264	1.4775	1.8809
2.6201	1.5135	1.8967
2.5992	1.4662	1.9495
2.651	1.4627	1.8817
2.6276	1.4483	1.9504
2.6438	1.4583	1.8802
2.6291	1.4828	1.9484
2.6604	1.4374	1.867
2.6239	1.4591	1.9276
2.6474	1.4498	1.8823
2.6228	1.4595	1.9514
2.6436	1.467	1.8856
2.6461	1.411	1.9339
2.6283	1.4536	1.9605
2.6468	1.4587	1.8891
2.6294	1.4337	1.9363
2.6402	1.4767	1.877
2.6263	1.4307	1.9441
2.6476	1.4587	1.8789
2.6185	1.4429	1.9279
2.6389	1.4971	1.8819
2.6081	1.4662	1.9415
2.6285	1.4707	1.8705
2.6376	1.4242	1.9435
2.6546	1.4573	1.8795
2.6614	1.4587	1.8778
2.6392	1.501	1.9343
2.6268	1.4673	1.8793
2.6179	1.4625	1.9526
2.6533	1.4265	1.8781
2.6195	1.4618	1.9337
2.683	1.4387	1.8782
2.6457	1.4728	1.9323
2.6482	1.4655	1.8727
2.6341	1.4579	1.9449
2.617	1.4801	1.886
2.6032	1.4489	1.9516
2.6409	1.4618	1.8834
2.6174	1.4488	1.9524
2.6357	1.4595	1.8824
2.6231	1.4584	1.9554
2.6612	1.443	1.8754
2.6234	1.4572	1.9375
2.632	1.4332	1.928
2.6289	1.4988	1.8938
2.6301	1.445	1.9564
2.6464	1.473	1.8899
2.6263	1.4606	1.9587
2.6478	1.4822	1.8913
2.6146	1.4513	1.9374
2.6205	1.506	1.8879
2.6209	1.516	1.8899
2.6069	1.4727	1.9482
2.6646	1.3804	1.8876
2.6168	1.4143	1.9328
2.6326	1.4493	1.9572
2.6405	1.481	1.8908
2.6215	1.4662	1.9591
2.6453	1.4478	1.8915
2.6294	1.4422	1.9358
2.6623	1.4346	1.87
2.6313	1.4775	1.8911
2.6219	1.4239	1.9413
2.6348	1.5145	1.9239
2.6395	1.4408	1.9283
2.6159	1.4672	1.9482
2.631	1.492	1.8802
2.6178	1.4814	1.8693
2.621	1.4522	1.9372
2.6574	1.4438	1.8786
2.6234	1.4405	1.9442
2.6236	1.4443	1.8699
2.6041	1.4342	1.9406
2.6435	1.452	1.8903
2.6017	1.4725	1.9478
2.6573	1.4484	1.866
2.6311	1.4398	1.9346
2.6431	1.4812	1.8771
2.6159	1.4488	1.9378
2.6628	1.4631	1.8904
2.6224	1.4926	1.9449
2.6541	1.4605	1.8817
2.6431	1.4248	1.9456
